anio,nombre,sexo_registral,frecuencia
2003,Ayleen,F,139
2003,Lorena,F,139
2003,Janis,F,136
2003,Yuliana,F,136
2003,Richard,M,132
2003,Diana,F,131
2003,Rosario,F,130
2003,Jael,F,129
2003,Maira,F,129
2003,Alison,F,128
2003,Mauro,M,128
2003,Rosa,F,128
2003,Sara,F,128
2003,Aaron,M,125
2003,Germán,M,125
2003,Giuliana,F,125
2003,Brenda,F,124
2003,Danilo,M,124
2003,Loreto,F,124
2003,Ismael,M,123
2003,Melanie,F,123
2003,Fabiola,F,122
2003,Rubén,M,122
2003,Juliana,F,121
2003,Viviana,F,120
2003,Alfredo,M,119
2003,Fabiana,F,119
2003,Emily,F,118
2003,Maicol,M,118
2003,Omar,M,117
2003,Alberto,M,116
2003,Mateo,M,115
2003,Melissa,F,115
2003,Priscila,F,115
2003,Mathias,M,114
2003,Pilar,F,113
2003,Alanis,F,112
2003,Yasmín,F,112
2003,Barbara,F,111
2003,Darío,M,111
2003,Ximena,F,111
2003,Paolo,M,110
2003,Tatiana,F,110
2003,Aline,F,108
2003,Escarlet,F,108
2003,Israel,M,108
2003,Williams,M,108
2003,Dante,M,107
2003,Tomas,M,107
2003,Enrique,M,106
2003,Bairon,M,104
2003,Araceli,F,103
2003,Cristel,F,103
2003,Clemente,M,102
2003,Darling,F,102
2003,Sarai,F,101
2003,Soledad,F,101
2003,Angélica,F,100
2003,Arturo,M,100
2003,Margarita,F,100
2003,Adán,M,99
2003,Belen,F,99
2003,Elisa,F,99
2003,Nayaret,F,99
2003,Solange,F,99
2003,Agustina,F,98
2003,Anais,F,98
2003,Annais,F,98
2003,Demis,M,98
2003,Scarlette,F,98
2003,Gerald,M,97
2003,Joshua,M,97
2003,Daniella,F,96
2003,Emanuel,M,96
2003,Jeison,M,93
2003,Justin,M,93
2003,Melany,F,92
2003,Moira,F,92
2003,Osvaldo,M,92
2003,Cecilia,F,91
2003,Sandra,F,91
2003,Valentín,M,91
2003,Yeison,M,91
2003,Alfonso,M,90
2003,Lorenzo,M,90
2003,Luz,F,89
2003,Catherine,F,87
2003,Exequiel,M,87
2003,Joseph,M,87
2003,Pia,F,87
2003,Monserratt,F,86
2003,Wladimir,M,86
2003,Alicia,F,85
2003,Boris,M,85
2003,Dania,F,85
2003,Darlyn,F,85
2003,Nadia,F,85
2003,Karin,F,84
2003,Victor,M,84
2003,William,M,84
2003,Debora,F,83
2003,Fabian,M,83
2003,Gerson,M,81
2003,Ivan,M,81
2003,Paulo,M,81
2003,Yanira,F,81
2003,Jasmín,F,80
2003,Misael,M,80
2003,Yenifer,F,80
2003,Cristián,M,79
2003,Damary,F,79
2003,Gaspar,M,79
2003,Micaela,F,79
2003,Muriel,F,79
2003,Vanesa,F,79
2003,Ashley,F,78
2003,Adolfo,M,77
2003,Bianca,F,77
2003,Demian,M,77
2003,Jade,F,77
2003,Jessica,F,77
2003,Matilde,F,77
2003,Ruth,F,77
2003,Angie,F,76
2003,Rafaela,F,76
2003,René,M,76
2003,Salvador,M,76
2003,Lisette,F,75
2003,Alvaro,M,74
2003,Milenka,F,74
2003,Amparo,F,72
2003,Sigrid,F,72
